Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Salmon,oz.,85,120,17,5,1,0.0,0.0,"Fish, Seafood"
Sardines,oz.,85,180,22,9,4,0.0,0.0,"Fish, Seafood"
Scallops /,oz.,100,104,18,8,0,0.0,10.0,"Fish, Seafood"
Shad,oz.,85,170,20,10,0,0.0,0.0,"Fish, Seafood"
Shrimp,oz.,85,110,23,1,0,0.0,0.0,"Fish, Seafood"
Swordfish steak,,100,180,27,6,0,0.0,0.0,"Fish, Seafood"
Tuna,oz.,85,170,25,7,3,0.0,0.0,"Fish, Seafood"
"Navy, baked with pork /",cup,200,250,11,6,6,2.0,37.0,Vegetables A-E
Red kidney,cup,260,230,15,1,0,2.5,42.0,Vegetables A-E
Bean sprouts t,cup,1,50,17,1,0,0.3,3.0,Vegetables A-E
Beet greens t,cup,1,100,27,2,0,1.4,6.0,Vegetables A-E
Broccoli t,cup,1,150,45,5,0,1.9,8.0,Vegetables A-E
Brussels sprouts t,cup,1,130,60,6,0,1.7,12.0,Vegetables A-E
Sauerkraut t,cup,1,150,32,1,0,1.2,7.0,Vegetables A-E
Steamed cabbage t,cup,1,170,40,2,0,1.3,9.0,Vegetables A-E
Carrots t,cup,1,150,45,1,0,0.9,10.0,Vegetables A-E
"Raw, grated t",cup,1,110,45,1,0,1.2,10.0,Vegetables A-E
Cauliflower t,cup,1,120,30,3,0,1.0,6.0,Vegetables A-E
Celery t,cup,1,100,20,1,0,1.0,4.0,Vegetables A-E
Stalk raw large t,,1,40,5,1,0,0.3,1.0,Vegetables A-E
Chard steamed t,cup,1,150,30,2,0,1.4,7.0,Vegetables A-E
Collards t,cup,1,150,51,5,0,2.0,8.0,Vegetables A-E
Corn ear t,,1,100,92,3,1,0.8,21.0,Vegetables A-E
cooked or canned t,cup,1,200,170,5,0,1.6,41.0,Vegetables A-E
Cucumbers t,,8,50,6,0,0,0.2,1.0,Vegetables A-E
Dandelion greens,cup,180,80,5,1,0,3.2,16.0,Vegetables A-E
Eggplant t,cup,1,180,30,2,0,1.0,9.0,Vegetables A-E
Endive t,oz.,2,57,10,1,0,0.6,2.0,Vegetables A-E
Kale,cup,110,45,4,1,0,0.9,8.0,Vegetables F-P
Kohlrabi t,cup,1,140,40,2,0,1.5,9.0,Vegetables F-P
"Lambs quarters, steamed t",cup,1,150,48,5,0,3.2,7.0,Vegetables F-P
Lentils t,cup,1,200,212,15,0,2.4,38.0,Vegetables F-P
Lettuce / head t,,4,100,14,1,0,0.5,2.0,Vegetables F-P
Iceberg / head t t,,1,4,100,13,0,0.5,3.0,Vegetables F-P
Mustard greens t,,1,140,30,3,0,1.2,6.0,Vegetables F-P
Okra / t,cups,3,100,32,1,0,1.0,7.0,Vegetables F-P
Onions t,,1,210,80,2,0,1.6,18.0,Vegetables F-P
Parsnips,cup,155,95,2,1,0,3.0,22.0,Vegetables F-P
Peas t,cup,1,100,66,3,0,0.1,13.0,Vegetables F-P
"Fresh, steamed peas t",cup,1,100,70,5,0,2.2,12.0,Vegetables R-Z
Split cooked peas t,cups,4,100,115,8,0,0.4,21.0,Vegetables R-Z
heated peas t,cup,1,100,53,3,0,1.0,10.0,Vegetables R-Z
"Peppers Raw, green, sweet large t",,1,100,25,1,0,1.4,6.0,Vegetables R-Z
Peppers with beef and crumbs med.,,150,255,19,9,8,1.0,24.0,Vegetables R-Z
"Potatoes, baked med. t",,1,100,100,2,0,0.5,22.0,Vegetables R-Z
French-fried pieces -,,60,155,1,7,3,0.4,20.0,Vegetables R-Z
Potatoes Mashed with milk and butter,cup,200,230,4,12,11,0.7,28.0,Vegetables R-Z
"Potatoes, pan-tried /",cup,100,268,4,14,6,0.4,33.0,Vegetables R-Z
Scalloped with cheese potatoes /,cup,100,145,6,8,7,0.4,14.0,Vegetables R-Z
Steamed potatoes before peeling med. t,,1,100,80,2,0,0.4,19.0,Vegetables R-Z
Potato chips t,,10,20,110,1,7,4.0,10.0,Vegetables R-Z
Radishes small t,,5,50,10,0,0,0.3,2.0,Vegetables R-Z
Rutabagas t,cups,4,100,32,0,0,1.4,8.0,Vegetables R-Z
Soybeans,cup,200,260,22,11,0,3.2,20.0,Vegetables R-Z
Spinach t,cup,1,100,26,3,0,1.0,3.0,Vegetables R-Z
Squash t,cup,1,210,35,1,0,0.6,8.0,Vegetables R-Z
"Winter, mashed t",cup,1,200,95,4,0,2.6,23.0,Vegetables R-Z
Sweet potatoes med.,,110,155,2,1,0,1.0,36.0,Vegetables R-Z
Candied med.,,175,235,2,6,5,1.5,80.0,Vegetables R-Z
Tomatoes t,cup,1,240,50,2,0,1.0,9.0,Vegetables R-Z
"Raw, by / med. t",,1,150,30,1,0,0.6,6.0,Vegetables R-Z
Tomato juice t,cup,1,240,50,2,0,0.6,10.0,Vegetables R-Z
Turnip greens,cup,145,45,4,1,0,1.8,8.0,Vegetables R-Z
"Turnips, steamed t",cup,1,155,40,1,0,1.8,9.0,Vegetables R-Z
"Watercress stems, raw t",cup,1,50,9,1,0,0.3,1.0,Fruits A-F
Apple juice canned t,cup,1,250,125,0,0,0.0,34.0,Fruits A-F
Apple vinegar / t,cup,3,100,14,0,0,0.0,3.0,Fruits A-F
Apricots t,cup,1,250,220,2,0,1.0,57.0,Fruits A-F
"Dried, uncooked / t",cup,2,75,220,4,0,1.0,50.0,Fruits A-F
Fresh med. t,,3,114,55,1,0,0.7,14.0,Fruits A-F
"Nectar, or juice t",cup,1,250,140,1,0,2.0,36.0,Fruits A-F
Avocado / large,,108,185,2,18,12,1.8,6.0,Fruits A-F
Banana med. t,,1,150,85,1,0,0.9,23.0,Fruits A-F
Blackberries,cup,144,85,2,1,0,6.6,19.0,Fruits A-F
Blueberries t,cup,1,250,245,1,0,2.0,65.0,Fruits A-F
Cantaloupe / med. t,,2,380,40,1,0,2.2,9.0,Fruits A-F
Cherries,cup,257,100,2,1,0,2.0,26.0,Fruits A-F
"Fresh, raw t",cup,1,114,65,1,0,0.8,15.0,Fruits A-F
Dates t,cup,1,178,505,4,0,3.6,134.0,Fruits A-F
Figs t,,2,42,120,2,0,1.9,30.0,Fruits A-F
"Fresh, raw figs med. t",,3,114,90,2,0,1.0,22.0,Fruits A-F
figs Canned with syrup t,,3,115,130,1,0,1.0,32.0,Fruits A-F
"Fruit cocktail, canned t",cup,1,256,195,1,0,0.5,50.0,Fruits A-F
Grapefruit sections t,cup,1,250,170,1,0,0.5,44.0,Fruits G-P
"Grapefruit, fresh, "" diameter -Jan t t",,5,2,285,50,1,1.0,14.0,Fruits G-P
Grapefruit juice t,cup,1,250,100,1,0,1.0,24.0,Fruits G-P
Grapes t,cup,1,153,70,1,0,0.8,16.0,Fruits G-P
"European, as Muscat, Tokay t",cup,1,160,100,1,0,0.7,26.0,Fruits G-P
Olives large,,65,72,1,10,9,0.8,3.0,Fruits G-P
OlivesRipe,,65,105,1,13,12,1.0,1.0,Fruits G-P
"Oranges "" diameter med. t t",,3,1,180,60,2,1.0,16.0,Fruits G-P
Orange juice or t,oz.,8,250,112,2,0,0.2,25.0,Fruits G-P
Papaya / med. t,,2,200,75,1,0,1.8,18.0,Fruits G-P
Peaches t,cup,1,257,200,1,0,1.0,52.0,Fruits G-P
"Fresh, raw med. t",,1,114,35,1,0,0.6,10.0,Fruits G-P
Pears t,cup,1,255,195,1,0,2.0,50.0,Fruits G-P
"Raw, by V med.",,182,100,1,1,0,2.0,25.0,Fruits G-P
Persimmons med. t,,1,125,75,1,0,2.0,20.0,Fruits G-P
Pineapple Crushed t,cup,1,260,205,1,0,0.7,55.0,Fruits G-P
"Raw, diced t'",cup,1,140,75,1,0,0.6,19.0,Fruits G-P
Pineapple juice t,cup,1,250,120,1,0,0.2,32.0,Fruits G-P
Plums t,cup,1,256,185,1,0,0.7,50.0,Fruits G-P
"Raw, "" diameter t t",,2,1,60,30,0,0.2,7.0,Fruits G-P
Prunes,cup,270,300,3,1,0,0.8,81.0,Fruits G-P
Prune juice t,cup,1,240,170,1,0,0.7,45.0,Fruits G-P
Raisins / t,cup,2,88,230,2,0,0.7,82.0,Fruits R-Z
Raspberries / t t,cup,1,2,100,100,0,2.0,25.0,Fruits R-Z
"Raw, red / t t",cup,3,4,100,57,0,5.0,14.0,Fruits R-Z
Rhubarb sweetened t,cup,1,270,385,1,0,1.9,98.0,Fruits R-Z
Strawberries t,cup,1,227,242,1,0,1.3,60.0,Fruits R-Z
Watermelon wedge,,925,120,2,1,0,3.6,29.0,Fruits R-Z
"Biscuits t Breads,",,1,38,130,3,4,3.0,18.0,"cereals, fastfood,grains"
"Bran flakes t Breads,",cup,1,25,117,3,0,0.1,32.0,"cereals, fastfood,grains"
"Bread, cracked wheat slice Breads,",,23,60,2,1,1,0.1,12.0,"cereals, fastfood,grains"
"Rye slice Breads,",,23,55,2,1,1,0.1,12.0,"cereals, fastfood,grains"
"White, slices, or -lb. loaf , Breads,",,1,225,39,15,12,9.0,229.0,"cereals, fastfood,grains"
"Whole-wheat -lb. loaf , Breads,",,1,100,48,14,10,67.5,216.0,"cereals, fastfood,grains"
"Whole-wheat slice Breads,",,23,55,2,1,0,0.31,11.0,"cereals, fastfood,grains"
"Corn bread ground meal serving Breads,",,50,100,3,4,2,0.3,15.0,"cereals, fastfood,grains"
"Cornflakes t Breads,",cup,1,25,110,2,0,0.1,25.0,"cereals, fastfood,grains"
"Corn grits cooked t Breads,",cup,1,242,120,8,0,0.2,27.0,"cereals, fastfood,grains"
"Corn meal Breads,",cup,118,360,9,4,2,1.6,74.0,"cereals, fastfood,grains"
"Crackers med. t Breads,",,2,14,55,1,1,0.0,10.0,"cereals, fastfood,grains"
"Soda, / square t Breads,",,2,11,45,1,1,0.0,8.0,"cereals, fastfood,grains"
"Farina t Breads,",cup,1,238,105,3,0,8.0,22.0,"cereals, fastfood,grains"
"Flour Breads,",cup,110,460,39,22,0,2.9,33.0,"cereals, fastfood,grains"
"Wheat (all purpose) Breads,",cup,110,400,12,1,0,0.3,84.0,"cereals, fastfood,grains"
"Wheat (whole) Breads,",cup,120,390,13,2,0,2.8,79.0,"cereals, fastfood,grains"
"Macaroni Breads,",cup,140,155,5,1,0,0.1,32.0,"cereals, fastfood,grains"
"Baked with cheese t Breads,",cup,1,220,475,18,25,24.0,44.0,"cereals, fastfood,grains"
"Muffins t Breads,",,1,48,135,4,5,4.0,19.0,"cereals, fastfood,grains"
"Noodles Breads,",cup,160,200,7,2,2,0.1,37.0,"cereals, fastfood,grains"
"Oatmeal Breads,",cup,236,150,5,3,2,4.6,26.0,"cereals, fastfood,grains"
"Pancakes "" diam. Breads,",,108,250,7,9,0,0.1,28.0,"cereals, fastfood,grains"
"Wheat, pancakes "" diam. Breads,",,108,250,7,9,0,0.1,28.0,"cereals, fastfood,grains"
"Pizza "" diam. section t Breads,",,1,75,180,8,6,5.0,23.0,"cereals, fastfood,grains"
"Popcorn salted Breads,",cups,28,152,3,7,2,0.5,20.0,"cereals, fastfood,grains"
"Puffed wheat presweetened t Breads,",cup,1,28,105,1,0,0.6,26.0,"cereals, fastfood,grains"
"Rice Breads,",cup,208,748,15,3,0,1.2,154.0,"cereals, fastfood,grains"
"Converted t Breads,",cup,1,187,677,14,0,0.4,142.0,"cereals, fastfood,grains"
"White t Breads,",cup,1,191,692,14,0,0.3,150.0,"cereals, fastfood,grains"
"Rice flakes t Breads,",cup,1,30,115,2,0,0.1,26.0,"cereals, fastfood,grains"
"Rice polish / Breads,",cup,50,132,6,6,0,1.2,28.0,"cereals, fastfood,grains"
"Rolls large Breads,",,50,411,3,12,11,0.1,23.0,"cereals, fastfood,grains"
"of refined flour t Breads,",,1,38,115,3,2,2.0,20.0,"cereals, fastfood,grains"
"whole-wheat Breads,",,40,102,4,1,0,0.1,20.0,"cereals, fastfood,grains"
"Spaghetti with meat sauce Breads,",cup,250,285,13,10,6,0.5,35.0,"cereals, fastfood,grains"
"with tomatoes and cheese Breads,",cup,250,210,6,5,3,0.5,36.0,"cereals, fastfood,grains"
"Spanish rice Breads,",cup,250,217,4,4,0,1.2,40.0,"cereals, fastfood,grains"
"Shredded wheat biscuit Breads,",,28,100,3,1,0,0.7,23.0,"cereals, fastfood,grains"
"Waffles Breads,",,75,240,8,9,1,0.1,30.0,"cereals, fastfood,grains"
"Wheat germ Breads,",cup,68,245,17,7,3,2.5,34.0,"cereals, fastfood,grains"
"Wheat-germ cereal toasted Breads,",cup,65,260,20,7,3,2.5,36.0,"cereals, fastfood,grains"
"Wheat meal cereal unrefined / Breads,",cup,30,103,4,1,0,0.7,25.0,"cereals, fastfood,grains"
"Wheat, cooked / Breads,",cup,200,275,12,1,0,4.4,35.0,"cereals, fastfood,grains"
Bean soups,,250,190,8,5,4,0.6,30.0,cup Soups
Beef soup,,250,100,6,4,4,0.5,11.0,cup Soups
Bouillon,,240,24,5,0,0,0.0,0.0,cup Soups
chicken soup,,250,75,4,2,2,0.0,10.0,cup Soups
Clam chowder,,255,85,5,2,8,0.5,12.0,cup Soups
Cream soups,,255,200,7,12,11,1.2,18.0,cup Soups
Noodle,,250,115,6,4,3,0.2,13.0,cup Soups
Split-pea soup,,250,147,8,3,3,0.5,25.0,cup Soups
Tomato soup,,245,175,6,7,6,0.5,22.0,cup Soups
Vegetable,,250,80,4,2,2,0.0,14.0,cup Soups
Apple betty serving,,100,150,1,4,0,0.5,29.0,"Desserts, sweets"
Bread pudding /,cup,200,374,11,12,11,0.2,56.0,"Desserts, sweets"
Cakes slice t,,1,40,110,3,0,0.0,23.0,"Desserts, sweets"
Chocolate fudge slice,,120,420,5,14,12,0.3,70.0,"Desserts, sweets"
Cupcake t,,1,50,160,3,3,2.0,31.0,"Desserts, sweets"
Fruit cake slice,,30,105,2,4,3,0.2,17.0,"Desserts, sweets"
Gingerbread slice t,,1,55,180,2,7,6.0,28.0,"Desserts, sweets"
"Plain, with no icing slice t",,1,55,180,4,5,4.0,31.0,"Desserts, sweets"
Sponge cake slice,,40,115,3,2,2,0.0,22.0,"Desserts, sweets"
Candy t,,5,25,104,3,3,0.0,19.0,"Desserts, sweets"
Chocolate creams t,,2,30,130,4,4,0.0,24.0,"Desserts, sweets"
Fudge pieces t,,2,90,370,12,11,0.1,80.0,"Desserts, sweets"
Hard candies t,oz.,1,28,90,0,0,0.0,28.0,"Desserts, sweets"
Marshmallows,,30,98,1,0,0,0.0,23.0,"Desserts, sweets"
Milk chocolate bar,-oz.,56,290,2,6,6,0.2,44.0,"Desserts, sweets"
Doughnuts t,,1,33,135,2,7,4.0,17.0,"Desserts, sweets"
Honey T. t,,2,42,120,0,0,0.0,30.0,"Jams, Jellies"
Ice cream,cups,300,250,0,0,12,10.0,0.0,"Desserts, sweets"
Ices,cup,150,117,0,0,0,0.0,48.0,"Desserts, sweets"
preserves T. t,,1,20,55,0,0,0.0,14.0,"Jams, Jellies"
Jellies T.,,20,50,0,0,0,0.0,13.0,"Jams, Jellies"
Molasses T.,,20,45,0,0,0,8.0,11.0,"Jams, Jellies"
Cane Syrup T.,,20,50,0,0,0,0.0,13.0,"Jams, Jellies"
""" diam. pie slice",,135,330,3,13,11,0.1,53.0,"Desserts, sweets"
Cherry Pie slice,,135,340,3,13,11,0.1,55.0,"Desserts, sweets"
Custard slice,,130,265,7,11,10,0.0,34.0,"Desserts, sweets"
Lemon meringue slice,,120,300,4,12,10,0.1,45.0,"Desserts, sweets"
Mince slice,,135,340,3,9,8,0.7,62.0,"Desserts, sweets"
